Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity,ageAv,age,gender,ethnicity,solved,Month,Year
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Wandsworth,White,5,5,1,0,1,Jan,2003
1,25 to 34,Male,Not known/Not Recorded ,Not Domestic Abuse,Jun-03,Murder,Solved,Wandsworth,Asian,3,3,1,2,1,Jun,2003
1,45 to 54,Male,"Physical Assault, no weapon",Not Domestic Abuse,Sep-03,Murder,Solved,Greenwich,Asian,5,5,1,2,1,Sep,2003
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Kingston Upon Thames,White,5,5,1,0,1,Sep,2003
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jun-03,Murder,Solved,Hounslow,White,0,0,2,0,1,Jun,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Hounslow,Asian,5,5,1,2,1,Oct,2003
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Richmond Upon Thames,White,0,0,2,0,1,Jan,2003
1,13 to 19,Female,Not known/Not Recorded ,Not Domestic Abuse,Feb-03,Murder,Solved,Richmond Upon Thames,White,1,1,2,0,1,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Richmond Upon Thames,Other,3,3,1,3,1,Aug,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Hillingdon,Asian,2,2,1,2,1,Jan,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Hillingdon,White,3,3,2,0,1,May,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Jun-03,Murder,Solved,Hillingdon,Asian,3,3,2,2,1,Jun,2003
1,45 to 54,Female,Other Methods Of Killing,Domestic Abuse,Jul-03,Murder,Solved,Hillingdon,White,5,5,2,0,1,Jul,2003
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,Dec-03,Murder,Solved,Ealing,White,5,5,1,0,1,Dec,2003
1,55 to 64,Male,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Lambeth,Black,6,6,1,1,1,Jan,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Feb-03,Murder,Unsolved,Ealing,Black,4,4,1,1,0,Feb,2003
1,45 to 54,Female,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Unsolved,Lambeth,Black,5,5,2,1,0,Feb,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Mar-03,Murder,Unsolved,Lambeth,Black,7,7,2,1,0,Mar,2003
1,13 to 19,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Unsolved,Lambeth,Black,1,1,1,1,0,Mar,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Apr-03,Murder,Unsolved,Lambeth,White,5,5,1,0,0,Apr,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Solved,Lambeth,Black,3,3,1,1,1,Apr,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,May-03,Murder,Solved,Hounslow,Asian,5,5,1,2,1,May,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Unsolved,Lambeth,Black,3,3,1,1,0,Sep,2003
1,65 and over,Male,Other Methods Of Killing,Not Domestic Abuse,Sep-03,Manslaughter,Solved,Lambeth,Black,7,7,1,1,1,Sep,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Sep-03,Murder,Solved,Lambeth,White,4,4,2,0,1,Sep,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Oct-03,Murder,Unsolved,Lambeth,Black,3,3,1,1,0,Oct,2003
1,25 to 34,Male,"Physical Assault, no weapon",Not Domestic Abuse,Nov-03,Murder,Solved,Ealing,White,3,3,1,0,1,Nov,2003
1,35 to 44 ,Male,Not known/Not Recorded ,Not Domestic Abuse,Nov-03,Murder,Unsolved,Lambeth,White,4,4,1,0,0,Nov,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Dec-03,Murder,Unsolved,Lambeth,Black,2,2,1,1,0,Dec,2003
1,65 and over,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Ealing,White,7,7,1,0,1,Dec,2003
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,2,2,2,2,1,Jul,2003
1,45 to 54,Female,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,5,5,2,2,1,Jul,2003
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,0,0,1,2,1,Jul,2003
